origin,M49,alpha-2,alpha-3,region,sub-region,intermediate-region,year,total_migrants,female_migrants,male_migrants,pct_female_migrants,pct_male_migrants,remittance_inflows,gdp_per_capita,total_population,Gini_index,homicides_per_100k_population,exposure_to_droughts,climate_risk_index,migration_rate,weighted_avg_dest_gdp
Antigua and Barbuda,28,AG,ATG,Americas,Latin America and the Caribbean,Caribbean,2015,0.01286,0.006486,0.0063739999999999995,50.43545878693624,49.56454121306376,31.24441226323777,16077.634076940634,0.089409,,,0.0,,14.383339484839333,
Antigua and Barbuda,28,AG,ATG,Americas,Latin America and the Caribbean,Caribbean,2020,0.012999,0.006554,0.006444999999999999,50.41926302023233,49.58073697976767,36.22049098345022,15369.60822504014,0.091846,,,0.1,,14.153038782309519,
Antigua and Barbuda,28,AG,ATG,Americas,Latin America and the Caribbean,Caribbean,2024,0.013111,0.006705,0.006405999999999999,51.14026390054153,48.859736099458466,,23725.7903725506,0.093772,,,,53.0,13.981785607644074,29669.308606918883
Argentina,32,AR,ARG,Americas,Latin America and the Caribbean,South America,1990,0.406466,0.205649,0.200817,50.59439165883494,49.40560834116506,,4315.334031115882,32.755901,,,,,1.2408939689981355,
Argentina,32,AR,ARG,Americas,Latin America and the Caribbean,South America,1995,0.44511,0.228854,0.216256,51.41515580418323,48.584844195816764,,7357.616277378798,35.07002,48.9,,,,1.2692037244347165,
Argentina,32,AR,ARG,Americas,Latin America and the Caribbean,South America,2000,0.571985,0.29151099999999996,0.280474,50.96479802792031,49.03520197207969,86.34365858988221,7637.014892036284,37.213983999999996,51.0,,,,1.5370163001091202,
Argentina,32,AR,ARG,Americas,Latin America and the Caribbean,South America,2005,0.824076,0.407086,0.41698999999999997,49.399084550454084,50.600915449545916,432.09,5067.653422932756,39.216789,47.8,,,,2.1013347115185796,
Argentina,32,AR,ARG,Americas,Latin America and the Caribbean,South America,2010,0.8773409999999999,0.435013,0.442328,49.58311534511667,50.41688465488334,644.3007400571922,10260.13131082542,41.288694,43.7,,,,2.1248940448443343,
Argentina,32,AR,ARG,Americas,Latin America and the Caribbean,South America,2015,0.89598,0.447735,0.448245,49.971539543293375,50.028460456706625,494.4335321399667,13679.626498095417,43.477011999999995,,,8.3,,2.060813194798208,
Argentina,32,AR,ARG,Americas,Latin America and the Caribbean,South America,2020,1.0143999999999997,0.5052599999999999,0.5091399999999999,49.808753943217674,50.19124605678233,648.0900500218147,8535.59938004389,45.191964999999996,42.7,,6.5,,2.2446468083430315,
