index,destination,coverage,type,destination_code,origin,origin_code,gender,year,migrants,M49,migrants_millions,name,alpha-2,alpha-3,country-code,iso_3166-2,region,sub-region,intermediate-region,region-code,sub-region-code,intermediate-region-code,alpha-3_dest,gdp_per_capita_dest,total_population_dest
18594,Greece,,B,300,Anguilla,660,female,2005,7,660,7e-6,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,GRC,22054.131575688592,10987314.0
22158,Dominican Republic,,B R,214,Anguilla,660,female,2005,43,660,0.000042999999999999995,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,DOM,3878.312067352443,9225034.0
18594,Greece,,B,300,Anguilla,660,male,2005,7,660,7e-6,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,GRC,22054.131575688592,10987314.0
22647,Saint Lucia,,B R,662,Anguilla,660,male,2005,9,660,9e-6,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,LCA,6863.4364191934455,165450.0
22764,Sint Maarten (Dutch part),28,B R,534,Anguilla,660,male,2005,100,660,0.00009999999999999999,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,SXM,,32057.0
14676,Bulgaria,,B,100,Anguilla,660,male,2005,18,660,0.000018,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,BGR,3899.825963328784,7658972.0
21952,Curaçao,23,B R,531,Anguilla,660,female,2005,32,660,0.000032,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,CUW,17032.33566207436,137658.0
14676,Bulgaria,,B,100,Anguilla,660,female,2005,11,660,0.000011,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,BGR,3899.825963328784,7658972.0
22889,United States Virgin Islands,30,B,850,Anguilla,660,male,2005,534,660,0.000534,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,VIR,40828.74609277752,108453.0
22158,Dominican Republic,,B R,214,Anguilla,660,male,2005,58,660,0.000058,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,DOM,3878.312067352443,9225034.0
17226,Latvia,,B,428,Anguilla,660,male,2005,3,660,3e-6,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,LVA,7283.787381276217,2238799.0
22764,Sint Maarten (Dutch part),28,B R,534,Anguilla,660,female,2005,83,660,0.000083,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,SXM,,32057.0
21405,Antigua and Barbuda,,B R,28,Anguilla,660,female,2005,18,660,0.000018,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,ATG,14368.570879605784,79611.0
25049,Ecuador,,B R,218,Anguilla,660,female,2005,149,660,0.000149,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,ECU,2909.0260601438827,13846163.0
21405,Antigua and Barbuda,,B R,28,Anguilla,660,male,2005,17,660,0.000017,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,ATG,14368.570879605784,79611.0
22029,Dominica,,B,212,Anguilla,660,female,2005,4,660,4e-6,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,DMA,5695.224423946745,68734.0
22647,Saint Lucia,,B R,662,Anguilla,660,female,2005,9,660,9e-6,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,LCA,6863.4364191934455,165450.0
17226,Latvia,,B,428,Anguilla,660,female,2005,1,660,1e-6,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,LVA,7283.787381276217,2238799.0
21952,Curaçao,23,B R,531,Anguilla,660,male,2005,11,660,0.000011,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,CUW,17032.33566207436,137658.0
22647,Saint Lucia,,B R,662,Anguilla,660,male,2010,3,660,3e-6,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,LCA,8673.687203405294,170906.0
25049,Ecuador,,B R,218,Anguilla,660,male,2010,101,660,0.000101,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,ECU,4520.30959039763,15076695.0
14676,Bulgaria,,B,100,Anguilla,660,male,2010,22,660,0.000022,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,BGR,6853.948055111706,7395599.0
18594,Greece,,B,300,Anguilla,660,male,2010,5,660,4.9999999999999996e-6,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,GRC,26653.048800862583,11121341.0
22158,Dominican Republic,,B R,214,Anguilla,660,female,2010,13,660,0.000013,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,DOM,5478.624703989543,9820175.0
22029,Dominica,,B,212,Anguilla,660,male,2010,12,660,0.000012,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,DMA,7549.619646803747,68859.0
22889,United States Virgin Islands,30,B,850,Anguilla,660,female,2010,469,660,0.00046899999999999996,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,VIR,39905.12841809943,108357.0
18594,Greece,,B,300,Anguilla,660,female,2010,6,660,6e-6,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,GRC,26653.048800862583,11121341.0
22889,United States Virgin Islands,30,B,850,Anguilla,660,male,2010,503,660,0.000503,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,VIR,39905.12841809943,108357.0
25049,Ecuador,,B R,218,Anguilla,660,female,2010,101,660,0.000101,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,ECU,4520.30959039763,15076695.0
